add_or_remove, relation, parent, child, weight
1,edge,C0a,C126,0.2397
1,edge,C0a,C127,0.3584
1,edge,C0a,C128,0.0741
1,edge,C0a,C129,0.9402
1,edge,C0a,C130,0.8752
1,edge,C0a,C131,0.9865
1,edge,C0a,C132,0.1212
1,edge,C0a,C133,0.0437
1,edge,C0a,C134,0.2038
1,edge,C0a,C135,0.3088
1,edge,C0a,C136,0.9934
1,edge,C0a,C137,0.9436
1,edge,C0a,C138,0.1961
1,edge,C0a,C139,0.6409
1,edge,C0a,C140,0.1499
1,edge,C0a,C141,0.6064
1,edge,C0a,C142,0.1901
1,edge,C0a,C143,0.0596
1,edge,C0a,C144,0.992
1,edge,C0a,C145,0.0354
1,edge,C0a,C146,0.3188
1,edge,C0a,C147,0.303
1,edge,C0a,C148,0.2029
1,edge,C0a,C149,0.7851
1,edge,C0a,C150,0.345
1,edge,C0a,C151,0.1
1,edge,C0a,C152,0.0373
1,edge,C0a,C153,0.8916
1,edge,C0a,C154,0.6973
1,edge,C0a,C155,0.1662
1,edge,C0a,C156,0.4258
1,edge,C0a,C157,0.1146
1,edge,C0a,C158,0.3618
1,edge,C0a,C159,0.1179
1,edge,C0a,C160,0.4932
1,edge,C0a,C161,0.5739
1,edge,C0a,C162,0.7144
1,edge,C0a,C163,0.2954
1,edge,C0a,C164,0.1
1,edge,C0a,C165,0.8251
1,edge,C0a,C166,0.7653
1,edge,C0a,C167,0.0645
1,edge,C0a,C168,0.9772
1,edge,C0a,C169,0.1653
1,edge,C0a,C170,0.641
1,edge,C0a,C171,0.3266
1,edge,C0a,C172,0.4262
1,edge,C0a,C173,0.5874
1,edge,C0a,C174,0.7704
1,edge,C0a,C175,0.9335
1,edge,C0a,C176,0.2775
1,edge,C0a,C177,0.3332
1,edge,C0a,C178,0.0951
1,edge,C0a,C179,0.2592
1,edge,C0a,C180,0.2653
1,edge,C0a,C181,0.5608
1,edge,C0a,C182,0.8674
1,edge,C0a,C183,0.4107
1,edge,C0a,C184,0.192
1,edge,C0a,C185,0.9777
1,edge,C0a,C186,0.7246
1,edge,C0a,C187,0.2864
1,edge,C0a,C188,0.0216
1,edge,C0a,C189,0.7727
1,edge,C0a,C190,0.6715
1,edge,C0a,C191,0.9324
1,edge,C0a,C192,0.8332
1,edge,C0a,C193,0.5102
1,edge,C0a,C194,0.5851
1,edge,C0a,C195,0.6367
1,edge,C0a,C196,0.4111
1,edge,C0a,C197,0.2513
1,edge,C0a,C198,0.9184
1,edge,C0a,C199,0.0203
1,edge,C0a,C200,0.7503
1,edge,C0a,C201,0.1295
1,edge,C0a,C202,0.5503
1,edge,C0a,C203,0.0748
1,edge,C0a,C204,0.8918
1,edge,C0a,C205,0.4601
1,edge,C0a,C206,0.2209
1,edge,C0a,C207,0.3934
1,edge,C0a,C208,0.7894
1,edge,C0a,C209,0.577
1,edge,C0a,C210,0.9996
1,edge,C0a,C211,0.4716
1,edge,C0a,C212,0.5885
1,edge,C0a,C213,0.9671
1,edge,C0a,C214,0.2168
1,edge,C0a,C215,0.5083
1,edge,C0a,C216,0.6357
1,edge,C0a,C217,0.6789
1,edge,C0a,C218,0.1322
1,edge,C0a,C219,0.0024
1,edge,C0a,C220,0.9741
1,edge,C0a,C221,0.315
1,edge,C0a,C222,0.5478
1,edge,C0a,C223,0.2622
1,edge,C0a,C224,0.3922
1,edge,C0a,C225,0.3655
1,edge,C0a,C226,0.7342
1,edge,C0a,C227,0.6203
1,edge,C0a,C228,0.9308
1,edge,C0a,C229,0.6789
1,edge,C0a,C230,0.0516
1,edge,C0a,C231,0.659
1,edge,C0a,C232,0.9297
1,edge,C0a,C233,0.6852
1,edge,C0a,C234,0.0766
1,edge,C0a,C235,0.2714
1,edge,C0a,C236,0.7296
1,edge,C0a,C237,0.1046
1,edge,C0a,C238,0.4247
1,edge,C0a,C239,0.2583
1,edge,C0a,C240,0.7313
1,edge,C0a,C241,0.8643
1,edge,C0a,C242,0.7983
1,edge,C0a,C243,0.9198
1,edge,C0a,C244,0.9895
1,edge,C0a,C245,0.0001
1,edge,C0a,C246,0.0637
1,edge,C0a,C247,0.8103
1,edge,C0a,C248,0.534
1,edge,C0a,C249,0.5112
1,edge,C0a,C250,0.7649
1,edge,C0a,C251,0.0816
1,edge,C0a,C252,0.6801
1,edge,C0a,C253,0.308
1,edge,C0a,C254,0.8987
1,edge,C0a,C255,0.1367
1,edge,C0a,C256,0.2138
1,edge,C0a,C257,0.0241
1,edge,C0a,C258,0.6583
1,edge,C0a,C259,0.684
1,edge,C0a,C260,0.518
1,edge,C0a,C261,0.0055
1,edge,C0a,C262,0.3498
1,edge,C0a,C263,0.0234
1,edge,C0a,C264,0.0038
1,edge,C0a,C265,0.8656
1,edge,C0a,C266,0.1602
1,edge,C0a,C267,0.312
1,edge,C0a,C268,0.1948
1,edge,C0a,C269,0.9967
1,edge,C0a,C270,0.3252
1,edge,C0a,C271,0.4954
1,edge,C0a,C272,0.4587
1,edge,C0a,C273,0.2985
1,edge,C0a,C274,0.1641
1,edge,C0a,C275,0.7792
1,edge,C0a,C276,0.6499
1,edge,C0a,C277,0.1332
1,edge,C0a,C278,0.0357
1,edge,C0a,C279,0.45
1,edge,C0a,C280,0.7421
1,edge,C0a,C281,0.1896
1,edge,C0a,C282,0.4202
1,edge,C0a,C283,0.2185
1,edge,C0a,C284,0.8533
1,edge,C0a,C285,0.5686
1,edge,C0a,C286,0.1885
1,edge,C0a,C287,0.253
1,edge,C0a,C288,0.4561
1,edge,C0a,C289,0.0304
1,edge,C0a,C290,0.0693
1,edge,C0a,C291,0.0666
1,edge,C0a,C292,0.337
1,edge,C0a,C293,0.4254
1,edge,C0a,C294,0.9148
1,edge,C0a,C295,0.5156
1,edge,C0a,C296,0.6011
1,edge,C0a,C297,0.9297
1,edge,C0a,C298,0.0688
1,edge,C0a,C299,0.9954
1,edge,C0a,C300,0.8101
1,edge,C0a,C301,0.7514
1,edge,C0a,C302,0.7134
1,edge,C0a,C303,0.6102
1,edge,C0a,C304,0.8813
1,edge,C0a,C305,0.2921
1,edge,C0a,C306,0.3405
1,edge,C0a,C307,0.6153
1,edge,C0a,C308,0.9619
1,edge,C0a,C309,0.4768
1,edge,C0a,C310,0.0145
1,edge,C0a,C311,0.2268
1,edge,C0a,C312,0.2474
1,edge,C0a,C313,0.4446
1,edge,C0a,C314,0.5462
1,edge,C0a,C315,0.5529
1,edge,C0a,C316,0.6016
1,edge,C0a,C317,0.1535
1,edge,C0a,C318,0.5541
1,edge,C0a,C319,0.0584
1,edge,C0a,C320,0.0675
1,edge,C0a,C321,0.4417
1,edge,C0a,C322,0.2684
1,edge,C0a,C323,0.2448
1,edge,C0a,C324,0.9559
1,edge,C0a,C325,0.4743
1,edge,C0a,C326,0.5913
1,edge,C0a,C327,0.6468
1,edge,C0a,C328,0.8986
1,edge,C0a,C329,0.2124
1,edge,C0a,C330,0.4807
1,edge,C0a,C331,0.1882
1,edge,C0a,C332,0.7832
1,edge,C0a,C333,0.3927
1,edge,C0a,C334,0.079
1,edge,C0a,C335,0.5044
1,edge,C0a,C336,0.2942
1,edge,C0a,C337,0.8569
1,edge,C0a,C338,0.1161
1,edge,C0a,C339,0.4958
1,edge,C0a,C340,0.6605
1,edge,C0a,C341,0.5382
1,edge,C0a,C342,0.4902
1,edge,C0a,C343,0.6794
1,edge,C0a,C344,0.178
1,edge,C0a,C345,0.1628
1,edge,C0a,C346,0.9188
1,edge,C0a,C347,0.7883
1,edge,C0a,C348,0.7766
1,edge,C0a,C349,0.5522
1,edge,C0a,C350,0.563
1,edge,C0a,C351,0.2036
1,edge,C0a,C352,0.7849
1,edge,C0a,C353,0.19
1,edge,C0a,C354,0.8154
1,edge,C0a,C355,0.6988
1,edge,C0a,C356,0.0619
1,edge,C0a,C357,0.4946
1,edge,C0a,C358,0.5489
1,edge,C0a,C359,0.255
1,edge,C0a,C360,0.2728
1,edge,C0a,C361,0.9248
1,edge,C0a,C362,0.6153
1,edge,C0a,C363,0.1424
1,edge,C0a,C364,0.1078
1,edge,C0a,C365,0.1387
1,edge,C0a,C366,0.3244
1,edge,C0a,C367,0.3621
1,edge,C0a,C368,0.1001
1,edge,C0a,C369,0.6304
1,edge,C0a,C370,0.0128
1,edge,C0a,C371,0.1606
1,edge,C0a,C372,0.6452
1,edge,C0a,C373,0.9117
1,edge,C0a,C374,0.8503
1,edge,C0a,C375,0.4748
1,edge,C0a,C376,0.7348
1,edge,C0a,C377,0.8005
1,edge,C0a,C378,0.9582
1,edge,C0a,C379,0.3559
1,edge,C0a,C380,0.6931
1,edge,C0a,C381,0.137
1,edge,C0a,C382,0.6034
1,edge,C0a,C383,0.3606
1,edge,C0a,C384,0.4274
1,edge,C0a,C385,0.9588
1,edge,C0a,C386,0.2729
1,edge,C0a,C387,0.7065
1,edge,C0a,C388,0.3144
1,edge,C0a,C389,0.5873
1,edge,C0a,C390,0.1884
1,edge,C0a,C391,0.1046
1,edge,C0a,C392,0.0452
1,edge,C0a,C393,0.8614
1,edge,C0a,C394,0.7399
1,edge,C0a,C395,0.3304
1,edge,C0a,C396,0.1948
1,edge,C0a,C397,0.8144
1,edge,C0a,C398,0.652
1,edge,C0a,C399,0.4202
1,edge,C0a,C400,0.3395
1,edge,C0a,C401,0.0689
1,edge,C0a,C402,0.3537
1,edge,C0a,C403,0.2397
1,edge,C0a,C404,0.1714
1,edge,C0a,C405,0.3243
1,edge,C0a,C406,0.751
1,edge,C0a,C407,0.6193
1,edge,C0a,C408,0.5925
1,edge,C0a,C409,0.8952
1,edge,C0a,C410,0.2479
1,edge,C0a,C411,0.1716
1,edge,C0a,C412,0.9768
1,edge,C0a,C413,0.7993
1,edge,C0a,C414,0.2431
1,edge,C0a,C415,0.9239
1,edge,C0a,C416,0.665
1,edge,C0a,C417,0.6934
1,edge,C0a,C418,0.8539
1,edge,C0a,C419,0.8116
1,edge,C0a,C420,0.5283
1,edge,C0a,C421,0.8166
1,edge,C0a,C422,0.8169
1,edge,C0a,C423,0.3309
1,edge,C0a,C424,0.8893
1,edge,C0a,C425,0.999
1,edge,C0a,C426,0.3584
1,edge,C0a,C427,0.0159
1,edge,C0a,C428,0.5574
1,edge,C0a,C429,0.5214
1,edge,C0a,C430,0.5272
1,edge,C0a,C431,0.0581
1,edge,C0a,C432,0.8603
1,edge,C0a,C433,0.243
1,edge,C0a,C434,0.4208
1,edge,C0a,C435,0.9872
1,edge,C0a,C436,0.2554
1,edge,C0a,C437,0.6209
1,edge,C0a,C438,0.9551
1,edge,C0a,C439,0.4823
1,edge,C0a,C440,0.7707
1,edge,C0a,C441,0.1087
1,edge,C0a,C442,0.1386
1,edge,C0a,C443,0.8462
1,edge,C0a,C444,0.0645
1,edge,C0a,C445,0.1087
1,edge,C0a,C446,0.3687
1,edge,C0a,C447,0.2138
1,edge,C0a,C448,0.0665
1,edge,C0a,C449,0.4922
1,edge,C0a,C450,0.025
1,edge,C0a,C451,0.7349
1,edge,C0a,C452,0.5416
1,edge,C0a,C453,0.2632
1,edge,C0a,C454,0.2438
1,edge,C0a,C455,0.7548
1,edge,C0a,C456,0.6083
1,edge,C0a,C457,0.8273
1,edge,C0a,C458,0.6262
1,edge,C0a,C459,0.868
1,edge,C0a,C460,0.8231
1,edge,C0a,C461,0.055
1,edge,C0a,C462,0.9402
1,edge,C0a,C463,0.1485
1,edge,C0a,C464,0.8486
1,edge,C0a,C465,0.9832
1,edge,C0a,C466,0.1251
1,edge,C0a,C467,0.6985
1,edge,C0a,C468,0.3376
1,edge,C0a,C469,0.4745
1,edge,C0a,C470,0.8772
1,edge,C0a,C471,0.9807
1,edge,C0a,C472,0.6845
1,edge,C0a,C473,0.79
1,edge,C0a,C474,0.6366
1,edge,C0a,C475,0.9952
1,edge,C0a,C476,0.9607
1,edge,C0a,C477,0.3826
1,edge,C0a,C478,0.0335
1,edge,C0a,C479,0.0003
1,edge,C0a,C480,0.2981
1,edge,C0a,C481,0.4955
1,edge,C0a,C482,0.8304
1,edge,C0a,C483,0.9343
1,edge,C0a,C484,0.4169
1,edge,C0a,C485,0.545
1,edge,C0a,C486,0.1075
1,edge,C0a,C487,0.8085
1,edge,C0a,C488,0.4292
1,edge,C0a,C489,0.4961
1,edge,C0a,C490,0.6685
1,edge,C0a,C491,0.6294
1,edge,C0a,C492,0.6286
1,edge,C0a,C493,0.102
1,edge,C0a,C494,0.2683
1,edge,C0a,C495,0.2086
1,edge,C0a,C496,0.3914
1,edge,C0a,C497,0.4703
1,edge,C0a,C498,0.5472
1,edge,C0a,C499,0.0909
1,edge,C0a,C500,0.0588
1,edge,C0a,C501,0.7886
1,edge,C0a,C502,0.6846
1,edge,C0a,C503,0.2308
1,edge,C0a,C504,0.8058
1,edge,C0a,C505,0.9862
1,edge,C0a,C506,0.1337
1,edge,C0a,C507,0.248
1,edge,C0a,C508,0.5779
1,edge,C0a,C509,0.6736
1,edge,C0a,C510,0.0576
1,edge,C0a,C511,0.7639
1,edge,C0a,C512,0.6335
1,edge,C0a,C513,0.7518
1,edge,C0a,C514,0.077
1,edge,C0a,C515,0.1662
1,edge,C0a,C516,0.7715
1,edge,C0a,C517,0.248
1,edge,C0a,C518,0.0331
1,edge,C0a,C519,0.0531
1,edge,C0a,C520,0.9802
1,edge,C0a,C521,0.2174
1,edge,C0a,C522,0.5306
1,edge,C0a,C523,0.1725
1,edge,C0a,C524,0.8997
1,edge,C0a,C525,0.5679
1,edge,C0a,C526,0.3194
1,edge,C0a,C527,0.6281
1,edge,C0a,C528,0.8033
1,edge,C0a,C529,0.1818
1,edge,C0a,C530,0.0985
1,edge,C0a,C531,0.9996
1,edge,C0a,C532,0.7654
1,edge,C0a,C533,0.5535
1,edge,C0a,C534,0.2036
1,edge,C0a,C535,0.4855
1,edge,C0a,C536,0.2082
1,edge,C0a,C537,0.6351
1,edge,C0a,C538,0.4813
1,edge,C0a,C539,0.1991
1,edge,C0a,C540,0.8503
1,edge,C0a,C541,0.3098
1,edge,C0a,C542,0.0625
1,edge,C0a,C543,0.6422
1,edge,C0a,C544,0.7283
1,edge,C0a,C545,0.6087
1,edge,C0a,C546,0.312
1,edge,C0a,C547,0.7462
1,edge,C0a,C548,0.5841
1,edge,C0a,C549,0.1234
1,edge,C0a,C550,0.0731
1,edge,C0a,C551,0.0655
1,edge,C0a,C552,0.7965
1,edge,C0a,C553,0.4184
1,edge,C0a,C554,0.0436
1,edge,C0a,C555,0.852
1,edge,C0a,C556,0.9326
1,edge,C0a,C557,0.9368
1,edge,C0a,C558,0.3538
1,edge,C0a,C559,0.3762
1,edge,C0a,C560,0.1531
1,edge,C0a,C561,0.8231
1,edge,C0a,C562,0.858
1,edge,C0a,C563,0.6883
1,edge,C0a,C564,0.8308
1,edge,C0a,C565,0.5002
1,edge,C0a,C566,0.1858
1,edge,C0a,C567,0.2386
1,edge,C0a,C568,0.6979
1,edge,C0a,C569,0.9273
1,edge,C0a,C570,0.6914
1,edge,C0a,C571,0.1376
1,edge,C0a,C572,0.1716
1,edge,C0a,C573,0.6809
1,edge,C0a,C574,0.103
1,edge,C0a,C575,0.1625
1,edge,C0a,C576,0.6802
1,edge,C0a,C577,0.2558
1,edge,C0a,C578,0.0503
1,edge,C0a,C579,0.7319
1,edge,C0a,C580,0.7062
1,edge,C0a,C581,0.6832
1,edge,C0a,C582,0.0493
1,edge,C0a,C583,0.8136
1,edge,C0a,C584,0.5316
1,edge,C0a,C585,0.4138
1,edge,C0a,C586,0.1286
1,edge,C0a,C587,0.5775
1,edge,C0a,C588,0.1152
1,edge,C0a,C589,0.1988
1,edge,C0a,C590,0.5886
1,edge,C0a,C591,0.0481
1,edge,C0a,C592,0.5659
1,edge,C0a,C593,0.5699
1,edge,C0a,C594,0.2914
1,edge,C0a,C595,0.0163
1,edge,C0a,C596,0.3776
1,edge,C0a,C597,0.5993
1,edge,C0a,C598,0.1155
1,edge,C0a,C599,0.9774
1,edge,C0a,C600,0.2347
1,edge,C0a,C601,0.3407
1,edge,C0a,C602,0.0052
1,edge,C0a,C603,0.3355
1,edge,C0a,C604,0.2018
1,edge,C0a,C605,0.0117
1,edge,C0a,C606,0.4804
1,edge,C0a,C607,0.6047
1,edge,C0a,C608,0.0403
1,edge,C0a,C609,0.9909
1,edge,C0a,C610,0.3815
1,edge,C0a,C611,0.2324
1,edge,C0a,C612,0.3063
1,edge,C0a,C613,0.7439
1,edge,C0a,C614,0.1841
1,edge,C0a,C615,0.781
1,edge,C0a,C616,0.5643
1,edge,C0a,C617,0.423
1,edge,C0a,C618,0.2132
1,edge,C0a,C619,0.0457
1,edge,C0a,C620,0.3409
1,edge,C0a,C621,0.5934
1,edge,C0a,C622,0.5488
1,edge,C0a,C623,0.7755
1,edge,C0a,C624,0.4794
1,edge,C0a,C625,0.4855
1,edge,C0a,C626,0.9063
1,edge,C0a,C627,0.5357
1,edge,C0a,C628,0.3015
1,edge,C0a,C629,0.9716
1,edge,C0a,C630,0.1323
1,edge,C0a,C631,0.168
1,edge,C0a,C632,0.8736
1,edge,C0a,C633,0.9516
1,edge,C0a,C634,0.5042
1,edge,C0a,C635,0.2562
1,edge,C0a,C636,0.617
1,edge,C0a,C637,0.2407
1,edge,C0a,C638,0.2051
1,edge,C0a,C639,0.365
1,edge,C0a,C640,0.5175
1,edge,C0a,C641,0.8328
1,edge,C0a,C642,0.3978
1,edge,C0a,C643,0.3877
1,edge,C0a,C644,0.3013
1,edge,C0a,C645,0.4768
1,edge,C0a,C646,0.6102
1,edge,C0a,C647,0.6877
1,edge,C0a,C648,0.0757
1,edge,C0a,C649,0.2166
1,edge,C0a,C650,0.985
1,edge,C0a,C651,0.0336
1,edge,C0a,C652,0.6452
1,edge,C0a,C653,0.1276
1,edge,C0a,C654,0.1199
1,edge,C0a,C655,0.2163
1,edge,C0a,C656,0.6885
1,edge,C0a,C657,0.4905
1,edge,C0a,C658,0.9023
1,edge,C0a,C659,0.6828
1,edge,C0a,C660,0.2331
1,edge,C0a,C661,0.9684
1,edge,C0a,C662,0.6917
1,edge,C0a,C663,0.4882
1,edge,C0a,C664,0.5809
1,edge,C0a,C665,0.1385
1,edge,C0a,C666,0.4064
1,edge,C0a,C667,0.7287
1,edge,C0a,C668,0.6049
1,edge,C0a,C669,0.867
1,edge,C0a,C670,0.0947
1,edge,C0a,C671,0.6167
1,edge,C0a,C672,0.6694
1,edge,C0a,C673,0.0138
1,edge,C0a,C674,0.6835
1,edge,C0a,C675,0.5253
1,edge,C0a,C676,0.723
1,edge,C0a,C677,0.3342
1,edge,C0a,C678,0.6088
1,edge,C0a,C679,0.4805
1,edge,C0a,C680,0.7715
1,edge,C0a,C681,0.1491
1,edge,C0a,C682,0.3038
1,edge,C0a,C683,0.1779
1,edge,C0a,C684,0.4537
1,edge,C0a,C685,0.1837
1,edge,C0a,C686,0.9145
1,edge,C0a,C687,0.9921
1,edge,C0a,C688,0.2521
1,edge,C0a,C689,0.7309
1,edge,C0a,C690,0.6533
1,edge,C0a,C691,0.3037
1,edge,C0a,C692,0.6909
1,edge,C0a,C693,0.7073
1,edge,C0a,C694,0.2862
1,edge,C0a,C695,0.4062
1,edge,C0a,C696,0.7429
1,edge,C0a,C697,0.5576
1,edge,C0a,C698,0.8574
1,edge,C0a,C699,0.2335
1,edge,C0a,C700,0.5822
1,edge,C0a,C701,0.7576
1,edge,C0a,C702,0.1417
1,edge,C0a,C703,0.7918
1,edge,C0a,C704,0.3336
1,edge,C0a,C705,0.4828
1,edge,C0a,C706,0.003
1,edge,C0a,C707,0.7357
1,edge,C0a,C708,0.7569
1,edge,C0a,C709,0.0127
1,edge,C0a,C710,0.3583
1,edge,C0a,C711,0.4891
1,edge,C0a,C712,0.1875
1,edge,C0a,C713,0.4934
1,edge,C0a,C714,0.8932
1,edge,C0a,C715,0.998
1,edge,C0a,C716,0.2559
1,edge,C0a,C717,0.695
1,edge,C0a,C718,0.7723
1,edge,C0a,C719,0.1516
1,edge,C0a,C720,0.8153
1,edge,C0a,C721,0.3807
1,edge,C0a,C722,0.8908
1,edge,C0a,C723,0.664
1,edge,C0a,C724,0.4588
1,edge,C0a,C725,0.0354
1,edge,C0a,C726,0.1979
1,edge,C0a,C727,0.4424
1,edge,C0a,C728,0.0664
1,edge,C0a,C729,0.0004
1,edge,C0a,C730,0.4203
1,edge,C0a,C731,0.6527
1,edge,C0a,C732,0.8619
1,edge,C0a,C733,0.9529
1,edge,C0a,C734,0.6491
1,edge,C0a,C735,0.7284
1,edge,C0a,C736,0.1671
1,edge,C0a,C737,0.4138
1,edge,C0a,C738,0.5797
1,edge,C0a,C739,0.4643
1,edge,C0a,C740,0.3211
1,edge,C0a,C741,0.9755
1,edge,C0a,C742,0.1396
1,edge,C0a,C743,0.058
1,edge,C0a,C744,0.1154
1,edge,C0a,C745,0.43
1,edge,C0a,C746,0.5007
1,edge,C0a,C747,0.8743
1,edge,C0a,C748,0.5568
1,edge,C0a,C749,0.1936
1,edge,C0a,C750,0.8686
1,edge,C0a,C751,0.408
1,edge,C0a,C752,0.2679
1,edge,C0a,C753,0.1115
1,edge,C0a,C754,0.6796
1,edge,C0a,C755,0.4746
1,edge,C0a,C756,0.4632
1,edge,C0a,C757,0.8516
1,edge,C0a,C758,0.2202
1,edge,C0a,C759,0.9404
1,edge,C0a,C760,0.8569
1,edge,C0a,C761,0.3445
1,edge,C0a,C762,0.8706
1,edge,C0a,C763,0.1725
1,edge,C0a,C764,0.673
1,edge,C0a,C765,0.8905
1,edge,C0a,C766,0.6609
1,edge,C0a,C767,0.4564
1,edge,C0a,C768,0.4788
1,edge,C0a,C769,0.7247
1,edge,C0a,C770,0.6091
1,edge,C0a,C771,0.9309
1,edge,C0a,C772,0.2257
1,edge,C0a,C773,0.2573
1,edge,C0a,C774,0.202
1,edge,C0a,C775,0.1974
1,edge,C0a,C776,0.6249
1,edge,C0a,C777,0.6573
1,edge,C0a,C778,0.9683
1,edge,C0a,C779,0.7666
1,edge,C0a,C780,0.2286
1,edge,C0a,C781,0.9168
1,edge,C0a,C782,0.4898
1,edge,C0a,C783,0.58
1,edge,C0a,C784,0.7744
1,edge,C0a,C785,0.6801
1,edge,C0a,C786,0.3571
1,edge,C0a,C787,0.781
1,edge,C0a,C788,0.8009
1,edge,C0a,C789,0.8217
1,edge,C0a,C790,0.5214
1,edge,C0a,C791,0.8072
1,edge,C0a,C792,0.0986
1,edge,C0a,C793,0.7274
1,edge,C0a,C794,0.4918
1,edge,C0a,C795,0.2339
1,edge,C0a,C796,0.8118
1,edge,C0a,C797,0.0858
1,edge,C0a,C798,0.3534
1,edge,C0a,C799,0.0418
1,edge,C0a,C800,0.5822
1,edge,C0a,C801,0.7725
1,edge,C0a,C802,0.6405
1,edge,C0a,C803,0.0165
1,edge,C0a,C804,0.8631
1,edge,C0a,C805,0.1088
1,edge,C0a,C806,0.1333
1,edge,C0a,C807,0.6473
1,edge,C0a,C808,0.0105
1,edge,C0a,C809,0.5919
1,edge,C0a,C810,0.0674
1,edge,C0a,C811,0.1903
1,edge,C0a,C812,0.0061
1,edge,C0a,C813,0.4429
1,edge,C0a,C814,0.4792
1,edge,C0a,C815,0.3714
1,edge,C0a,C816,0.2304
1,edge,C0a,C817,0.9385
1,edge,C0a,C818,0.4717
1,edge,C0a,C819,0.3132
1,edge,C0a,C820,0.1727
1,edge,C0a,C821,0.711
1,edge,C0a,C822,0.7551
1,edge,C0a,C823,0.5409
1,edge,C0a,C824,0.6293
